user,comment
@KhandiiedYams1039,"0:24
They got that operation running TIGHT, they are moving product."
@TinyMukbangAniamation,Totally fun!
@kapten_bagassetiawan_0139,0:12
@kapten_bagassetiawan_0139,0:01
@kapten_bagassetiawan_0139,경우도는뎌뷰냐뵤재뽮
@Johnplayz_therealgamer,SO CUTE
@TinyMukbangAniamation,This is so fun to watch!
@그친구-m8s,ㅋㅋㅋㅋㅋㅋㅋ
@barleybreadhc256,귀엽다
@taku増,
@곽준모-r7q,귀여워  ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
@배광한-z4w,
@솔이의소리-w4c,애기가 나도 못먹는 마늘이랑 굴이랑 고추를 먹잖아? ㅎㅎ 너무 기여워ㅠㅠ 볼 빵빵해><
@솔이의소리-w4c,아기가 굴도 먹고 마늘도 먹고 고추도 먹는게 왱ㄱ렣게 귀엽냐ㅋㅋ♡♡ 뽈 기여어
@렍프를사랑하는칸쵸,너무 귀여운거 아니냐고. 이영상 귀여워서 계속 봐여
@cherrymaegarcia5243,Sa japanese ka?
@빠다구이-v9c,"8
ㅕ"
@seoltangmul,이거 보니까 할무니 보고 싶다
@dgi-요망한,김치할땐 느린데 먹을땐 대박이네
@kyu_ang,제가 좋아하는 인형 닮음 ㅋㅋ
@CozyLofiCat-music,So cute  Love it!
@user-2271ms,귀엽다
@ประวิทย์สิงห์ขอนอาจ-ศ8จ,น่ารัก
@벌꿀오소리-t7o,하.... 진짜 겁나 귀엽다ㅠㅠㅠㅠ 사랑스러워
@XarilioLilyanna,Lil bro is so cute ️
@thienkimnguyenmai2817,So cute
@hueeeng,아기가 마늘 먹으면 매울 텐데... 하다 고추까지 잘 먹네~ 하다 귀여워서 웃음...
@nu_hazzi2098,ㅋㄱ
@36hoo,홀리몰리(?)
@kalry77,0:58 이 부분은 고증이 좀..... 양념 묻히는 단계에서 생배추를 나르진 않죠. 이미 다 소금 뿌려 숨 죽을 때까지 절였다가 물기 쫙 빼놓은 상태여야 하는데 ㅋㅋㅋㅋㅋ
@trentlikes_drawing,my sweet baby aww
@27_oon,김치 볶음밥 먹었어 ㅋㅋㅋ 아 진짜 사나이 꿀 나 지금 너무 좋아 좋아
@Shinging-u7i,망그러진 귀여워
@뉴뉴리NewNewry,넘귀여워!!
@순애이-r7h,너무 귀여워
@capscaps4418,망곰이 유튜브가 있었다고?
@4766daae,도 귀여우거 같아🩷
@4766daae,매워 아는 모습도 귀여워🩷🩷 반에서
@4766daae,엉덩이 좀 봐 너~~무 귀여워
@4766daae,귀여워 그리고 야무지게 먹어서 더 귀엽당🩷
@4766daae,귀요미🩷🩷
@Looya0104,앜ㅋㅋㅋ 귀여워 ㅁㅋㅋ
@tamirchingiz6945,That one English comment
@유행따라하는댕냥이,1:01 이 부분 우는거 넘 사랑스러워 ㅠㅠ
@동그람-g5l,근데 애기들 은근 어른들보다 더 어른스러운 음식 잘먹을때 있더라ㅋㅋㅋㅋㅋㅋ
@younjeoungkim6779,귀여워ㅓㅓ
@윤도환-e2m,무친 넘귀엽
@권소라-z7v,너무 귀여워
@프로-n3e,아 귀여워 ㅋ.ㅋ
@윤효상-p9x,귀여워 ㅠㅠㅠ 0:11
@정무팬티도둑,
@olgagachaphoenix9130,So cute!
@CBHR8989,1:53얘도 불쓰는데 에이스는 뭐임?
@박진규-z6e,귀엽당
@바보-y6h,우는거 귀엽    그리고 망그러진곰이 아니고 귀여운곰 아니에요?
@vanila5013,Harga dompet gue
@오렌쥐-y1m,매워하는거너무. 귀여!!!!!!
@supotalchool,너왜혼자세점먹냐고
@정정해주-n1e,귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 귀여워 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
@heejinlove1844,나 꼬마였을 때하고 똑같다
@단비꾸야-q7i,ㅋㅋ망곰이땡초도 잘먹네하다가 열불~~
@채하파파,ㅋㅋㅋㅋ 0:06
@채하파파,ㅋㅋㅋㅋ
@희희-p7m,아니세상에너무귀엽네
@아나까나_까나리,캐릭터가 뭔가 쭈니같아요 ㅎㅎ
@POCKY-l9p,입맛은 이미 어른인데? ㅋㅋ
@임미희-r4z,"마시께따


츄릅ㄹ"
@임미희-r4z,귀여웡ㅋㅋㅋ
@nana_boutique_48,잘먹네ㅋㅋㅋㅋ
@딸기우유-v6e,귀엽담
@uddesign,귀여오오
@shejay2665,망곰이 목소리 처음 들어 ㅠㅠ 귀여워
@국내여행사전,귀여웡
@선생밤비,입맛이 애기가 아닌데?ㅋㅋㅋㅋ
@hahahahahahahahahah12421,1:29 굴 맛있갰다
@오물오물다람쥐-y7d,1:58 그래 역시 보쌈엔 막걸리지
@Nijinji,어른곰들 바지 안입었어요
@생맥주포도주,똥! ㅋㅋ
@박선영-c9k,1:00너무 귀여워요 망그러진곰 콧물방울모야!>×<
@qwerasdf-q1v,아니 왜 망곰이 채널이 있음? ㅋㅋ
@GiMdij,망고미 끼요웡
@시바-y1w,딱 봐도 어른들이 하는 모습을 보고 따라하는 조랭이떡이네요.
@gaeulii,귀여워 망고미
@Ddy-q8m,너무 귀여워 ㅋㅋㅋ
@백가연-w1p,여기 째깐한 곰돌이가김치와 보쌈을 먹는데요?
@장정우-m7s,1:01 소리지를 때 소리가 피크민 같다ㅋ
@Hehwtaoow,어린이 가튼대 어른 거도 잘먹내
@박스-y7u,0:04
@Mawin3.1,So cute
@김정희-f4,귀여워
@ashbluemoon,망곰이 어른이네 굴도 먹고.. 고기도 세점씩 먹고 귀여워어엉
@billythekitty1656,이런것도 먹방으로 쳐줘요?
@김영준-w9n3t,조금만한게 잘 먹네
@Waeyo00134,3번째보는중
@천화-n8b,망곰이 볼살 귀여워요
@Mingmyang_,이거 너무 귀여워서 자꾸 들어와서 보게됨... 지금 벌써 몇번이나 봤는지 모르겠다 20번은 본듯
@Lake.L,귀여운 거 최고야
@유정-w7w,0:04 디테일 미쳤다 ㅋㅋㅋㅋㅋㅋㅋ 고무장갑 뒤집는 거 ㅋㅋㅋㅋㅋㅋㅋ 뾰뵤뵤뵤뵥 소리까지 ㅠㅠㅠㅠㅠ
@유정-w7w,진짜 미치겠다 ㅠㅠㅠㅠㅠㅠ 존ㄴ... 아니 겁나 힐링 ㅠㅠㅠㅠㅠㅠㅠ 망곰아아아아악 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
@10duck-ei,1:25 저 젓가락 쪽 빠는거까지 완벽허네
@다이뻐서다다,"아니 애기아니야??
어떻게 마늘에 굴, 청양을 먹어 ㅋㅋㅋㅋㅋㅋㅋㅋ

나보다 더 으른이네"
@김은숙-v4s,쭈꾸만게 나보다 잘 먹네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
@이예은-u4c7m,쌈쌀때 밥 넣어야지 맛있는데
@문승민-e9c,0:39두 장 에서0:40한 장 으로 돼는 매zzz직
@김대영-m3r2i,망곰이너무기여워어어어
